Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
E07000144,,,Broadland,,,,,7.470000000000001,26.013333333333335,5.13,15.094999999999999,18.19666666666667,10.184999999999999,21.424999999999997,10.076666666666668,34.8,51.269999999999996,11.833333333333334,23.345,38.75,2.335,7.1274999999999995,7.82,182.25
E07000145,,,Great Yarmouth,,,,,7.365,28.31,6.505,18.955,23.833333333333332,8.855,26.53,12.556666666666667,27.490000000000002,45.06,12.950000000000001,25.045,41.555,3.3975,6.8625,7.8725000000000005,122.25
E07000146,,,King’s Lynn and West Norfolk,,,,,7.43,25.826666666666664,5.21,14.49,17.133333333333336,10.774999999999999,23.005,9.373333333333335,32.144999999999996,47.519999999999996,12.44,24.59,42.260000000000005,2.5575,7.0525,7.8075,202.5
E07000147,,,North Norfolk,,,,,7.535,29.003333333333334,3.335,13.440000000000001,21.63,8.385,21.814999999999998,11.923333333333334,28.72,46.685,11.920000000000002,30.19,47.44,2.8125,7.114999999999999,7.96,153.5
E07000148,,,Norwich,,,,,7.385,29.070000000000004,4.5649999999999995,15.850000000000001,17.953333333333333,9.845,21.075,9.693333333333333,36.84,53.89,14.143333333333336,20.61,37.315,2.475,7.0200000000000005,7.7475000000000005,195.75
E07000149,,,South Norfolk,,,,,7.61,31.830000000000002,3.9400000000000004,15.625,19.036666666666665,8.565000000000001,19.225,10.593333333333334,33.135000000000005,50.63,11.166666666666666,26.759999999999998,42.125,2.3725,7.2524999999999995,7.9725,181.0
E07000150,,,Corby,,,,,7.1075,33.67666666666667,3.77,24.485,23.706666666666663,8.399999999999999,26.67,14.590000000000002,31.759999999999998,61.63,23.933333333333334,10.575,32.7,3.9275,6.535,7.675000000000001,86.75
E07000151,,,Daventry,,,,,7.6325,43.65666666666667,1.2,12.94,25.076666666666668,8.335,26.15,14.86,26.055,47.269999999999996,14.893333333333336,27.78,50.28,2.8425,7.1925,8.0725,88.75
E07000152,,,East Northamptonshire,,,,,7.2375,29.153333333333336,5.535,19.545,25.183333333333334,8.27,24.925,12.166666666666666,28.63,49.480000000000004,18.993333333333332,21.369999999999997,42.235,3.4175,6.7325,7.7375,118.0
E07000153,,,Kettering,,,,,7.3374999999999995,27.429999999999996,6.359999999999999,18.43,20.936666666666664,10.265,25.515,12.176666666666668,27.175,45.285,14.526666666666666,24.15,42.82,2.6624999999999996,6.947500000000001,7.7325,121.75
