Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
E07000053,,,Weymouth and Portland,x,x,x,x,7.54,32,x,x,20.41,x,x,10.82,x,x,15.29,x,x,2.58,7.15,7.93,129
E10000013,,Gloucestershire,,8.5,17.54,39.85,34.11,7.47,12.15,6.47,10.54,8.58,14.58,20.49,4.93,35.99,43.71,5.68,30.3,37.92,1.03,7.32,7.62,801
E07000078,,,Cheltenham,x,x,x,x,7.49,35.01,x,x,19.44,x,x,12.41,x,x,12.2,x,x,2.37,7.13,7.84,161
E07000079,,,Cotswold,x,x,x,x,8.03,49.54,x,x,28.06,x,x,11.45,x,x,10.29,x,x,1.91,7.72,8.34,128
E07000080,,,Forest of Dean,x,x,x,x,7.29,33.81,x,x,18.6,x,x,12.09,x,x,20.92,x,x,3.01,6.85,7.74,104
E07000081,,,Gloucester,x,x,x,x,7.27,20.43,x,x,22.98,x,x,12.53,x,x,13.55,x,x,2.65,6.88,7.66,156
E07000082,,,Stroud,x,x,x,x,7.29,29.57,x,x,16.28,x,x,12.58,x,x,13.9,x,x,2.8,6.88,7.7,135
E07000083,,,Tewkesbury,x,x,x,x,7.6,35.87,x,x,25.05,x,x,10.13,x,x,15.69,x,x,2.59,7.2,8,117
E10000027,,Somerset ,,10.08,14.74,42.25,32.94,7.48,12.44,7.61,12.55,9.76,11.91,17.56,4.79,38.27,46.22,5.59,29.31,36.56,1.17,7.31,7.65,786
E07000187,,,Mendip,x,x,x,x,7.57,31.52,x,x,23.71,x,x,10.13,x,x,12.15,x,x,2.86,7.14,8.01,182
E07000188,,,Sedgemoor,x,x,x,x,7.35,24.55,x,x,21.32,x,x,11.24,x,x,11.23,x,x,3.14,6.89,7.81,173
E07000189,,,South Somerset,x,x,x,x,7.48,25.68,x,x,16.25,x,x,8.79,x,x,10.97,x,x,1.81,7.21,7.75,232
E07000190,,,Taunton Deane,x,x,x,x,7.43,22.15,x,x,19.18,x,x,10.13,x,x,11.85,x,x,2.07,7.13,7.74,146
E07000191,,,West Somerset,x,x,x,x,7.75,48.78,x,x,51.98,x,x,17.04,x,x,20.91,x,x,4.5,7.02,8.48,53
W92000004,WALES,,,10.17,16.85,39.59,33.39,7.39,2.85,9.6,10.74,2.2,16.13,17.58,1.45,38.46,40.71,1.6,32.34,34.43,0.29,7.35,7.43,19679
W06000001,,,Isle of Anglesey / Ynys Môn,9.94,13.5,38.95,37.62,7.53,11.08,7.77,12.1,8.66,11.2,15.79,4.76,35.3,42.59,4.98,33.94,41.3,1.1,7.37,7.69,893
W06000002,,,Gwynedd / Gwynedd,7.95,18.95,45.45,27.65,7.33,12.29,6.03,9.87,8.73,15.69,22.2,4.15,41.74,49.15,6.02,24.38,30.93,1.07,7.18,7.49,873
W06000003,,,Conwy / Conwy,8.39,16.72,38.2,36.69,7.56,10.17,6.71,10.07,7.59,14.23,19.21,4.58,34.76,41.64,4.71,33.3,40.09,0.89,7.43,7.69,1115
W06000004,,,Denbighshire / Sir Ddinbych,8.76,17.78,38.48,34.98,7.48,12.4,6.63,10.9,7.77,15.06,20.5,4.42,35.14,41.83,4.51,31.88,38.08,0.96,7.34,7.63,1034
W06000005,,,Flintshire / Sir y Fflint,9.8,14.4,41.24,34.56,7.47,13.21,7.26,12.35,10.55,11.41,17.39,4.77,37.37,45.11,5.89,30.55,38.56,1.28,7.28,7.65,880
W06000006,,,Wrexham / Wrecsam,9.28,15.36,35.46,39.9,7.6,12.21,7.05,11.51,9.09,12.61,18.1,5.67,31.51,39.42,5.28,35.76,44.04,1.19,7.43,7.78,900
W06000023,,,Powys / Powys,8.39,16.05,39.3,36.26,7.51,11.97,6.42,10.37,8.23,13.45,18.64,4.37,35.93,42.68,4.89,32.77,39.74,1.09,7.35,7.67,945
W06000008,,,Ceredigion / Ceredigion,7.91,14.29,39.96,37.84,7.63,11.51,6.12,9.69,9.97,11.49,17.1,5.4,35.72,44.2,5.46,33.78,41.9,1.02,7.48,7.78,977
W06000009,,,Pembrokeshire / Sir Benfro,8.6,13.04,46.33,32.03,7.55,11.53,6.65,10.55,9.38,10.64,15.45,4.21,42.49,50.16,5.42,28.61,35.44,0.97,7.41,7.7,919
W06000010,,,Carmarthenshire / Sir Gaerfyrddin,13.11,14.25,41.75,30.89,7.22,10.04,10.52,15.69,8.84,11.78,16.73,4.84,37.77,45.72,5.83,27.35,34.43,1.21,7.05,7.39,912
W06000011,,,Swansea / Abertawe,9.75,20.65,40.09,29.51,7.28,11.8,7.49,12.01,7.37,17.66,23.64,4.4,36.62,43.56,5.92,26.08,32.94,1.12,7.12,7.44,977
W06000012,,,Neath Port Talbot / Castell-nedd Port Talbot,11.64,16.77,35.03,36.56,7.38,10.71,9.19,14.09,7.94,14.15,19.39,5.67,31.12,38.94,5.45,32.64,40.47,1.26,7.2,7.56,886
W06000013,,,Bridgend / Pen-y-bont ar Ogwr,10.42,15.68,36.23,37.67,7.48,10.88,8.19,12.65,10.56,12.42,18.94,5.37,32.4,40.06,5.23,33.8,41.55,1.2,7.3,7.65,839
W06000014,,,The Vale of Glamorgan / Bro Morgannwg,8.57,19.08,40.05,32.3,7.41,11.69,6.6,10.54,7.76,16.17,21.99,4.85,36.24,43.87,5.5,28.8,35.79,0.98,7.27,7.55,908
W06000015,,,Cardiff / Caerdydd,8.16,18.43,42.59,30.81,7.39,13.35,6.02,10.31,9.29,15.06,21.79,7.61,36.22,48.97,9.47,25.08,36.55,1.23,7.21,7.57,892
W06000016,,,Rhondda Cynon Taf / Rhondda Cynon Taf,14.28,15.9,36,33.82,7.31,11.13,11.15,17.4,9.12,13.05,18.75,6.85,31.15,40.85,6.53,29.48,38.17,1.46,7.1,7.52,862
W06000024,,,Merthyr Tydfil / Merthyr Tudful,13.13,16.73,36.18,33.96,7.26,11.14,10.25,16.01,12.51,12.61,20.85,6.05,31.87,40.49,7.19,29.15,38.76,1.66,7.02,7.49,626
W06000018,,,Caerphilly / Caerffili,11.38,19.73,35.87,33.01,7.25,12.11,8.67,14.09,8.5,16.43,23.03,5.39,32.07,39.67,5.33,29.56,36.47,1.28,7.06,7.43,924
W06000019,,,Blaenau Gwent / Blaenau Gwent,12.43,17.55,37.19,32.82,7.27,11.52,9.61,15.25,9.83,14.16,20.95,5.91,32.87,41.52,6.84,28.4,37.24,1.59,7.04,7.5,683
W06000020,,,Torfaen / Tor-faen,11.46,17.55,39.48,31.51,7.21,12.28,8.69,14.23,8.33,14.67,20.42,4.69,35.84,43.12,5.62,28.03,35,1.49,7,7.42,883
W06000021,,,Monmouthshire / Sir Fynwy,9.03,15.5,43.87,31.6,7.39,13.01,6.72,11.34,8.7,12.85,18.15,4.24,40.21,47.53,5.44,28.22,34.99,1.26,7.21,7.57,964
W06000022,,,Newport / Casnewydd,11.28,15.93,39.92,32.86,7.35,11.89,8.64,13.92,10.92,12.51,19.36,5.48,35.62,44.23,6.74,28.51,37.22,1.41,7.15,7.55,787
S92000003,SCOTLAND,,,9.76,16.47,41.46,32.32,7.38,2.98,9.19,10.33,2.14,15.78,17.16,1.16,40.51,42.41,1.43,31.41,33.22,0.28,7.34,7.42,23131
S12000033,,,Aberdeen City,9.09,14.74,44.39,31.78,7.43,15.63,6.29,11.89,11.53,11.4,18.08,5.71,39.4,49.37,8.97,26.18,37.39,1.4,7.22,7.63,761
S12000034,,,Aberdeenshire,7.59,13.89,42.79,35.72,7.62,14.39,5.44,9.75,11.7,10.69,17.09,5.19,38.42,47.17,5.89,31.58,39.86,1.14,7.44,7.79,657
S12000041,,,Angus,9.99,17.43,39.16,33.42,7.39,13.46,7.34,12.63,10.95,13.68,21.19,6.15,34.42,43.89,6.65,29.05,37.79,1.33,7.2,7.59,722
S12000035,,,Argyll and Bute,8.94,15.29,43.92,31.85,7.46,13.16,6.63,11.25,9.59,12.41,18.17,4.27,40.23,47.6,5.63,28.33,35.38,1.07,7.3,7.62,914
S12000005,,,Clackmannanshire,x,x,x,x,7.41,21.29,x,x,14.41,x,x,8.11,x,x,9.43,x,x,1.98,7.12,7.7,288
S12000006,,,Dumfries and Galloway,7.81,15.44,41.65,35.09,7.54,12.57,5.88,9.74,8.19,12.96,17.93,3.91,38.45,44.85,4.82,31.77,38.41,0.96,7.4,7.68,1069
S12000042,,,Dundee City,13.37,18.63,38.47,29.52,7.09,12.42,10.11,16.64,10.42,14.82,22.45,6.13,33.84,43.11,7.39,25.23,33.81,1.68,6.85,7.32,935
S12000008,,,East Ayrshire,11.45,17.88,39.13,31.55,7.31,14.97,8.08,14.82,9.02,14.71,21.05,5.2,35.12,43.13,6.41,27.57,35.53,1.6,7.08,7.54,791
S12000045,,,East Dunbartonshire,7.78,15.97,40.91,35.35,7.59,14.31,5.59,9.97,9.63,12.94,19,4.8,37.04,44.77,5.69,31.39,39.31,1.12,7.43,7.76,735
S12000010,,,East Lothian,10.14,14.34,45.46,30.07,7.36,12.61,7.62,12.65,11.28,11.15,17.52,4.72,41.24,49.68,6.86,26.01,34.13,1.18,7.18,7.53,721
S12000011,,,East Renfrewshire,6.72,17.01,47.6,28.68,7.48,14.5,4.8,8.64,9.34,13.88,20.13,4.88,43.03,52.16,6.88,24.79,32.56,1.02,7.32,7.63,676
S12000036,,,City of Edinburgh,7.86,15.16,45.43,31.56,7.48,14.96,5.55,10.18,9.71,12.26,18.05,4.66,41.26,49.59,6.47,27.54,35.57,1.08,7.32,7.64,739
*,,"Eilean Siar, Orkney & Shetland",,5.85,12.7,37.04,44.41,7.95,19.01,3.66,8.04,11.17,9.91,15.49,5.89,32.74,41.33,5.2,39.87,48.96,1.12,7.78,8.13,617
S12000013,,,Eilean Siar,x,x,x,x,8.02,28.47,x,x,15.17,x,x,8.69,x,x,7.5,x,x,1.54,7.77,8.26,267
S12000023,,,Orkney Islands,x,x,x,x,8.06,34.89,x,x,22.22,x,x,11.15,x,x,9.29,x,x,1.63,7.8,8.32,190
S12000027,,,Shetland Islands,x,x,x,x,7.78,31.91,x,x,22.51,x,x,11.21,x,x,10.66,x,x,2.58,7.38,8.18,160
